temp_c,humidity_pct,water_level_pct,delta_level,delta_humidity,label
25.0,55,80,0.0,0.5,Normal
25.2,56,79,-0.1,0.3,Normal
25.1,54,81,0.2,-0.2,Normal
24.9,55,80,0.0,0.1,Normal
25.3,57,78,-0.3,0.4,Normal
25.0,56,80,0.1,-0.1,Normal
27.5,62,75,-1.5,3.0,Evaporation
28.0,65,70,-2.0,4.5,Evaporation
28.5,68,65,-2.5,5.0,Evaporation
27.0,60,78,-1.0,2.5,Evaporation
29.0,70,60,-3.0,6.0,Evaporation
27.8,64,72,-1.8,3.8,Evaporation
26.0,56,50,-15.0,0.5,Leak
25.8,55,40,-20.0,-0.5,Leak
26.2,57,30,-18.0,0.2,Leak
25.5,54,45,-25.0,0.0,Leak
26.5,58,35,-22.0,1.0,Leak
25.9,56,42,-19.0,-0.3,Leak
